
01/17 23:50:54 [[1;32mNOTICE[0m] Downloading 1 item(s)
[#50d851 0B/0B CN:1 DL:0B]
[#50d851 85MiB/127GiB(0%) CN:4 DL:0B]
[#50d851 245MiB/127GiB(0%) CN:4 DL:717KiB ETA:51h36m42s]
[#50d851 245MiB/127GiB(0%) CN:4 DL:729KiB ETA:50h45m42s]
[#50d851 246MiB/127GiB(0%) CN:4 DL:761KiB ETA:48h35m45s]
[#50d851 247MiB/127GiB(0%) CN:4 DL:799KiB ETA:46h18m3s]
[#50d851 248MiB/127GiB(0%) CN:4 DL:824KiB ETA:44h54m1s]
[#50d851 249MiB/127GiB(0%) CN:4 DL:831KiB ETA:44h29m26s]
[#50d851 250MiB/127GiB(0%) CN:4 DL:846KiB ETA:43h42m19s]
[#50d851 251MiB/127GiB(0%) CN:4 DL:859KiB ETA:43h3m12s]
[#50d851 251MiB/127GiB(0%) CN:4 DL:855KiB ETA:43h14m19s]
[#50d851 251MiB/127GiB(0%) CN:4 DL:796KiB ETA:46h28m15s]
[#50d851 252MiB/127GiB(0%) CN:4 DL:785KiB ETA:47h7m44s]
[#50d851 253MiB/127GiB(0%) CN:4 DL:752KiB ETA:49h12m20s]
[#50d851 254MiB/127GiB(0%) CN:4 DL:724KiB ETA:51h3m30s]
[#50d851 254MiB/127GiB(0%) CN:4 DL:692KiB ETA:53h26m28s]
[#50d851 255MiB/127GiB(0%) CN:4 DL:672KiB ETA:54h59m59s]
[#50d851 255MiB/127GiB(0%) CN:4 DL:658KiB ETA:56h13m49s]
[#50d851 256MiB/127GiB(0%) CN:4 DL:652KiB ETA:56h43m6s]
[#50d851 257MiB/127GiB(0%) CN:4 DL:644KiB ETA:57h23m50s]
[#50d851 257MiB/127GiB(0%) CN:4 DL:617KiB ETA:59h57m41s]
[#50d851 258MiB/127GiB(0%) CN:4 DL:646KiB ETA:57h15m44s]
[#50d851 259MiB/127GiB(0%) CN:4 DL:668KiB ETA:55h19m29s]
[#50d851 260MiB/127GiB(0%) CN:4 DL:697KiB ETA:53h1m9s]
[#50d851 260MiB/127GiB(0%) CN:4 DL:679KiB ETA:54h26m5s]
[#50d851 261MiB/127GiB(0%) CN:4 DL:720KiB ETA:51h23m18s]
[#50d851 262MiB/127GiB(0%) CN:4 DL:734KiB ETA:50h23m29s]
[#50d851 263MiB/127GiB(0%) CN:4 DL:751KiB ETA:49h14m39s]
[#50d851 263MiB/127GiB(0%) CN:4 DL:737KiB ETA:50h11m36s]
[#50d851 264MiB/127GiB(0%) CN:4 DL:784KiB ETA:47h10m45s]
[#50d851 265MiB/127GiB(0%) CN:4 DL:764KiB ETA:48h22m48s]
[#50d851 266MiB/127GiB(0%) CN:4 DL:789KiB ETA:46h52m41s]
[#50d851 267MiB/127GiB(0%) CN:4 DL:804KiB ETA:45h59m51s]
[#50d851 268MiB/127GiB(0%) CN:4 DL:825KiB ETA:44h48m16s]
[#50d851 269MiB/127GiB(0%) CN:4 DL:855KiB ETA:43h15m17s]
[#50d851 270MiB/127GiB(0%) CN:4 DL:884KiB ETA:41h49m26s]
 *** Download Progress Summary as of Sat Jan 17 23:54:56 2026 *** 
===============================================================================
[#50d851 271MiB/127GiB(0%) CN:4 DL:899KiB ETA:41h8m35s]
FILE: /scratch/iglesiay/databases/GTDB/gtdb_genomes_reps.tar.gz
-------------------------------------------------------------------------------

[#50d851 271MiB/127GiB(0%) CN:4 DL:899KiB ETA:41h8m35s]
[#50d851 271MiB/127GiB(0%) CN:4 DL:909KiB ETA:40h41m40s]
[#50d851 272MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:39h55m38s]
[#50d851 273MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:38h33m17s]
[#50d851 274MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:38h7m10s]
[#50d851 275MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:37h16m34s]
[#50d851 277MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:36h22m42s]
[#50d851 278MiB/127GiB(0%) CN:4 DL:1.0MiB ETA:35h35m9s]
[#50d851 279MiB/127GiB(0%) CN:4 DL:1.0MiB ETA:34h51m21s]
[#50d851 280MiB/127GiB(0%) CN:4 DL:1.0MiB ETA:33h37m30s]
[#50d851 281MiB/127GiB(0%) CN:4 DL:1.0MiB ETA:33h21m13s]
[#50d851 282MiB/127GiB(0%) CN:4 DL:1.1MiB ETA:32h42m7s]
[#50d851 283MiB/127GiB(0%) CN:4 DL:1.0MiB ETA:32h55m52s]
[#50d851 284MiB/127GiB(0%) CN:4 DL:1.1MiB ETA:32h27m17s]
[#50d851 286MiB/127GiB(0%) CN:4 DL:1.1MiB ETA:32h10m57s]
[#50d851 286MiB/127GiB(0%) CN:4 DL:1.0MiB ETA:34h18m51s]
[#50d851 287MiB/127GiB(0%) CN:4 DL:1.0MiB ETA:33h28m26s]
[#50d851 288MiB/127GiB(0%) CN:4 DL:1.0MiB ETA:35h2m11s]
[#50d851 289MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:36h46m48s]
[#50d851 290MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:37h59m2s]
[#50d851 291MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:39h3m11s]
[#50d851 292MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:39h44m46s]
[#50d851 292MiB/127GiB(0%) CN:4 DL:913KiB ETA:40h28m58s]
[#50d851 293MiB/127GiB(0%) CN:4 DL:897KiB ETA:41h12m27s]
[#50d851 294MiB/127GiB(0%) CN:4 DL:890KiB ETA:41h34m1s]
[#50d851 295MiB/127GiB(0%) CN:4 DL:889KiB ETA:41h36m25s]
[#50d851 296MiB/127GiB(0%) CN:4 DL:882KiB ETA:41h54m5s]
[#50d851 297MiB/127GiB(0%) CN:4 DL:881KiB ETA:41h58m11s]
[#50d851 298MiB/127GiB(0%) CN:4 DL:871KiB ETA:42h27m6s]
[#50d851 298MiB/127GiB(0%) CN:4 DL:872KiB ETA:42h25m26s]
[#50d851 299MiB/127GiB(0%) CN:4 DL:871KiB ETA:42h26m54s]
[#50d851 300MiB/127GiB(0%) CN:4 DL:869KiB ETA:42h34m1s]
[#50d851 300MiB/127GiB(0%) CN:4 DL:787KiB ETA:46h59m37s]
[#50d851 301MiB/127GiB(0%) CN:4 DL:832KiB ETA:44h27m16s]
[#50d851 302MiB/127GiB(0%) CN:4 DL:767KiB ETA:48h13m6s]
[#50d851 303MiB/127GiB(0%) CN:4 DL:744KiB ETA:49h40m39s]
[#50d851 303MiB/127GiB(0%) CN:4 DL:721KiB ETA:51h18m10s]
[#50d851 304MiB/127GiB(0%) CN:4 DL:697KiB ETA:53h4m21s]
[#50d851 304MiB/127GiB(0%) CN:4 DL:659KiB ETA:56h5m57s]
[#50d851 305MiB/127GiB(0%) CN:4 DL:653KiB ETA:56h37m49s]
[#50d851 306MiB/127GiB(0%) CN:4 DL:623KiB ETA:59h18m37s]
[#50d851 306MiB/127GiB(0%) CN:4 DL:664KiB ETA:55h39m40s]
[#50d851 307MiB/127GiB(0%) CN:4 DL:622KiB ETA:59h27m6s]
[#50d851 307MiB/127GiB(0%) CN:4 DL:618KiB ETA:59h48m9s]
[#50d851 308MiB/127GiB(0%) CN:4 DL:611KiB ETA:60h30m25s]
[#50d851 309MiB/127GiB(0%) CN:4 DL:630KiB ETA:58h42m57s]
[#50d851 309MiB/127GiB(0%) CN:4 DL:630KiB ETA:58h39m17s]
[#50d851 310MiB/127GiB(0%) CN:4 DL:669KiB ETA:55h13m53s]
[#50d851 311MiB/127GiB(0%) CN:4 DL:667KiB ETA:55h25m56s]
[#50d851 312MiB/127GiB(0%) CN:4 DL:712KiB ETA:51h54m35s]
[#50d851 313MiB/127GiB(0%) CN:4 DL:737KiB ETA:50h10m19s]
[#50d851 314MiB/127GiB(0%) CN:4 DL:764KiB ETA:48h22m43s]
[#50d851 314MiB/127GiB(0%) CN:4 DL:801KiB ETA:46h9m58s]
[#50d851 315MiB/127GiB(0%) CN:4 DL:811KiB ETA:45h35m16s]
[#50d851 316MiB/127GiB(0%) CN:4 DL:807KiB ETA:45h48m17s]
[#50d851 317MiB/127GiB(0%) CN:4 DL:832KiB ETA:44h26m3s]
[#50d851 317MiB/127GiB(0%) CN:4 DL:818KiB ETA:45h12m53s]
[#50d851 318MiB/127GiB(0%) CN:4 DL:802KiB ETA:46h4m15s]
[#50d851 319MiB/127GiB(0%) CN:4 DL:793KiB ETA:46h35m35s]
[#50d851 319MiB/127GiB(0%) CN:4 DL:766KiB ETA:48h15m7s]
